Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Total population - Persons,Total population - Males,Total population - Females,Population attending educational institutions - Persons,Population attending educational institutions - Males,Population attending educational institutions - Females,Type of educational institution - School - Persons,Type of educational institution - School - Males,Type of educational institution - School - Females,Type of educational institution - College - Persons,Type of educational institution - College - Males,Type of educational institution - College - Females,Type of educational institution - Vocational institute - Persons,Type of educational institution - Vocational institute - Males,Type of educational institution - Vocational institute - Females,Type of educational institution - Other institute - Persons,Type of educational institution - Other institute - Males,Type of educational institution - Other institute - Females,Type of educational institution - Literacy centre - Persons,Type of educational institution - Literacy centre - Males,Type of educational institution - Literacy centre - Females
C3010,10,00,0000,State - BIHAR  10,Total,All ages,82998509,43243795,39754714,13728783,8569438,5159345,12603832,7704798,4899034,1003953,782326,221627,45848,33940,11908,48998,35110,13888,26152,13264,12888
C3010,10,00,0000,State - BIHAR  10,Total,0-4,11006072,5623280,5382792,136675,75300,61375,136675,75300,61375,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Total,5,2794120,1472925,1321195,252403,145534,106869,252403,145534,106869,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Total,6,3005871,1556500,1449371,550690,313914,236776,550690,313914,236776,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Total,7,1923438,996424,927014,811564,463801,347763,811564,463801,347763,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Total,8,3618492,1911110,1707382,1706769,1002710,704059,1706769,1002710,704059,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Total,9,1462381,768304,694077,827316,480589,346727,827316,480589,346727,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Total,10,3847307,2083648,1763659,2051733,1247809,803924,2051733,1247809,803924,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Total,11,1089485,581455,508030,676623,400617,276006,676623,400617,276006,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Total,12,3112657,1696778,1415879,1699313,1048802,650511,1699313,1048802,650511,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Total,13,1241128,654351,586777,718061,428166,289895,718061,428166,289895,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Total,14,1773200,953969,819231,918566,566283,352283,918566,566283,352283,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Total,15-19,7190188,4028643,3161545,2427583,1654981,772602,2035131,1371009,664122,355659,258953,96706,8960,6617,2343,25839,17397,8442,1994,1005,989
C3010,10,00,0000,State - BIHAR  10,Total,20-24,6323193,3180063,3143130,725690,559653,166037,218988,160264,58724,485749,384354,101395,9975,7654,2321,7038,5578,1460,3940,1803,2137
C3010,10,00,0000,State - BIHAR  10,Total,25-29,5908308,2894706,3013602,127418,107664,19754,0,0,0,106125,91684,14441,10816,8852,1964,6480,5270,1210,3997,1858,2139
C3010,10,00,0000,State - BIHAR  10,Total,30-34,5549787,2713871,2835916,36862,28992,7870,0,0,0,25878,21885,3993,4486,3307,1179,2856,2111,745,3642,1689,1953
C3010,10,00,0000,State - BIHAR  10,Total,35-59,17473783,9101858,8371925,48572,35406,13166,0,0,0,24565,20563,4002,8907,5909,2998,5089,3586,1503,10011,5348,4663
C3010,10,00,0000,State - BIHAR  10,Total,60+,5501274,2922005,2579269,11196,8015,3181,0,0,0,4787,4022,765,2521,1502,1019,1473,1021,452,2415,1470,945
C3010,10,00,0000,State - BIHAR  10,Total,Age not stated,177825,103905,73920,1749,1202,547,0,0,0,1190,865,325,183,99,84,223,147,76,153,91,62
C3010,10,00,0000,State - BIHAR  10,Rural,All ages,74316709,38594996,35721713,11393075,7218932,4174143,10669391,6630216,4039175,630098,527615,102483,30093,21468,8625,38866,27176,11690,24627,12457,12170
C3010,10,00,0000,State - BIHAR  10,Rural,0-4,10083847,5146939,4936908,107036,59455,47581,107036,59455,47581,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Rural,5,2558184,1347427,1210757,205119,119321,85798,205119,119321,85798,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Rural,6,2756458,1426723,1329735,470331,270786,199545,470331,270786,199545,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Rural,7,1735976,899493,836483,689342,398542,290800,689342,398542,290800,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Rural,8,3303385,1744873,1558512,1492471,885585,606886,1492471,885585,606886,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Rural,9,1308462,687298,621164,709161,416679,292482,709161,416679,292482,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Rural,10,3497580,1894836,1602744,1799055,1106815,692240,1799055,1106815,692240,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Rural,11,952156,508272,443884,565902,340103,225799,565902,340103,225799,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Rural,12,2801086,1528246,1272840,1470211,921592,548619,1470211,921592,548619,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Rural,13,1081777,571745,510032,594210,362278,231932,594210,362278,231932,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Rural,14,1547128,833653,713475,754402,476713,277689,754402,476713,277689,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Rural,15-19,6263105,3508252,2754853,1884320,1334018,550302,1627999,1135086,492913,226450,179034,47416,5980,4373,1607,22021,14598,7423,1870,927,943
C3010,10,00,0000,State - BIHAR  10,Rural,20-24,5560017,2753122,2806895,494271,399455,94816,184152,137261,46891,295470,252040,43430,5732,4410,1322,5189,4058,1131,3728,1686,2042
C3010,10,00,0000,State - BIHAR  10,Rural,25-29,5255133,2551836,2703297,81440,70690,10750,0,0,0,68072,61333,6739,5749,4590,1159,3902,3074,828,3717,1693,2024
C3010,10,00,0000,State - BIHAR  10,Rural,30-34,4960310,2411088,2549222,26820,21221,5599,0,0,0,18184,15985,2199,3121,2148,973,2064,1480,584,3451,1608,1843
C3010,10,00,0000,State - BIHAR  10,Rural,35-59,15523464,8046291,7477173,38702,28323,10379,0,0,0,17870,15704,2166,7173,4613,2560,4206,2940,1266,9453,5066,4387
C3010,10,00,0000,State - BIHAR  10,Rural,60+,4965924,2640319,2325605,9100,6520,2580,0,0,0,3352,2963,389,2187,1254,933,1295,906,389,2266,1397,869
C3010,10,00,0000,State - BIHAR  10,Rural,Age not stated,162717,94583,68134,1182,836,346,0,0,0,700,556,144,151,80,71,189,120,69,142,80,62
C3010,10,00,0000,State - BIHAR  10,Urban,All ages,8681800,4648799,4033001,2335708,1350506,985202,1934441,1074582,859859,373855,254711,119144,15755,12472,3283,10132,7934,2198,1525,807,718
C3010,10,00,0000,State - BIHAR  10,Urban,0-4,922225,476341,445884,29639,15845,13794,29639,15845,13794,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Urban,5,235936,125498,110438,47284,26213,21071,47284,26213,21071,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Urban,6,249413,129777,119636,80359,43128,37231,80359,43128,37231,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Urban,7,187462,96931,90531,122222,65259,56963,122222,65259,56963,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Urban,8,315107,166237,148870,214298,117125,97173,214298,117125,97173,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Urban,9,153919,81006,72913,118155,63910,54245,118155,63910,54245,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Urban,10,349727,188812,160915,252678,140994,111684,252678,140994,111684,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Urban,11,137329,73183,64146,110721,60514,50207,110721,60514,50207,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Urban,12,311571,168532,143039,229102,127210,101892,229102,127210,101892,0,0,0,0,0,0,0,0,0,0,0,0
C3010,10,00,0000,State - BIHAR  10,Urban,13,159351,82606,76745,123851,65888,57963,123851,65888,57963,0,0,0,0,0,0,0,0,0,0,0,0
