Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Total population - Persons,Total population - Males,Total population - Females,Population attending educational institutions - Persons,Population attending educational institutions - Males,Population attending educational institutions - Females,Type of educational institution - School - Persons,Type of educational institution - School - Males,Type of educational institution - School - Females,Type of educational institution - College - Persons,Type of educational institution - College - Males,Type of educational institution - College - Females,Type of educational institution - Vocational institute - Persons,Type of educational institution - Vocational institute - Males,Type of educational institution - Vocational institute - Females,Type of educational institution - Other institute - Persons,Type of educational institution - Other institute - Males,Type of educational institution - Other institute - Females,Type of educational institution - Literacy centre - Persons,Type of educational institution - Literacy centre - Males,Type of educational institution - Literacy centre - Females
C3010,12,00,0000,State - ARUNACHAL PRADESH  12,Total,All ages,1097968,579941,518027,255934,142367,113567,245671,135521,110150,8094,5550,2544,808,460,348,882,595,287,479,241,238
C3010,12,00,0000,State - ARUNACHAL PRADESH  12,Total,0-4,137843,69791,68052,4006,2134,1872,4006,2134,1872,0,0,0,0,0,0,0,0,0,0,0,0
C3010,12,00,0000,State - ARUNACHAL PRADESH  12,Total,5,33141,17175,15966,7150,3903,3247,7150,3903,3247,0,0,0,0,0,0,0,0,0,0,0,0
C3010,12,00,0000,State - ARUNACHAL PRADESH  12,Total,6,34887,17867,17020,11995,6548,5447,11995,6548,5447,0,0,0,0,0,0,0,0,0,0,0,0
C3010,12,00,0000,State - ARUNACHAL PRADESH  12,Total,7,30720,15903,14817,16320,8947,7373,16320,8947,7373,0,0,0,0,0,0,0,0,0,0,0,0
C3010,12,00,0000,State - ARUNACHAL PRADESH  12,Total,8,37307,19051,18256,20768,11236,9532,20768,11236,9532,0,0,0,0,0,0,0,0,0,0,0,0
C3010,12,00,0000,State - ARUNACHAL PRADESH  12,Total,9,26121,13247,12874,16941,9056,7885,16941,9056,7885,0,0,0,0,0,0,0,0,0,0,0,0
C3010,12,00,0000,State - ARUNACHAL PRADESH  12,Total,10,38726,20004,18722,24597,13530,11067,24597,13530,11067,0,0,0,0,0,0,0,0,0,0,0,0
C3010,12,00,0000,State - ARUNACHAL PRADESH  12,Total,11,18974,9573,9401,14012,7488,6524,14012,7488,6524,0,0,0,0,0,0,0,0,0,0,0,0
C3010,12,00,0000,State - ARUNACHAL PRADESH  12,Total,12,35764,18284,17480,24459,13294,11165,24459,13294,11165,0,0,0,0,0,0,0,0,0,0,0,0
C3010,12,00,0000,State - ARUNACHAL PRADESH  12,Total,13,22647,11351,11296,16525,8834,7691,16525,8834,7691,0,0,0,0,0,0,0,0,0,0,0,0
C3010,12,00,0000,State - ARUNACHAL PRADESH  12,Total,14,26695,13552,13143,18886,10185,8701,18886,10185,8701,0,0,0,0,0,0,0,0,0,0,0,0
C3010,12,00,0000,State - ARUNACHAL PRADESH  12,Total,15-19,110561,57558,53003,61002,34473,26529,59062,33413,25649,1563,861,702,133,57,76,188,122,66,56,20,36
C3010,12,00,0000,State - ARUNACHAL PRADESH  12,Total,20-24,86033,44512,41521,16252,10426,5826,10950,6953,3997,4728,3210,1518,280,124,156,184,100,84,110,39,71
