Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Total population - Persons,Total population - Males,Total population - Females,Population attending educational institutions - Persons,Population attending educational institutions - Males,Population attending educational institutions - Females,Type of educational institution - School - Persons,Type of educational institution - School - Males,Type of educational institution - School - Females,Type of educational institution - College - Persons,Type of educational institution - College - Males,Type of educational institution - College - Females,Type of educational institution - Vocational institute - Persons,Type of educational institution - Vocational institute - Males,Type of educational institution - Vocational institute - Females,Type of educational institution - Other institute - Persons,Type of educational institution - Other institute - Males,Type of educational institution - Other institute - Females,Type of educational institution - Literacy centre - Persons,Type of educational institution - Literacy centre - Males,Type of educational institution - Literacy centre - Females
C3010,28,00,0000,State - ANDHRA PRADESH  28,Total,All ages,76210007,38527413,37682594,17515658,9669530,7846128,15748015,8580156,7167859,1302691,890635,412056,140753,97262,43491,58702,35340,23362,265497,66137,199360
C3010,28,00,0000,State - ANDHRA PRADESH  28,Total,0-4,6684361,3402214,3282147,262270,136157,126113,262270,136157,126113,0,0,0,0,0,0,0,0,0,0,0,0
C3010,28,00,0000,State - ANDHRA PRADESH  28,Total,5,1726212,884843,841369,631004,328353,302651,631004,328353,302651,0,0,0,0,0,0,0,0,0,0,0,0
C3010,28,00,0000,State - ANDHRA PRADESH  28,Total,6,1761284,900264,861020,1123578,582651,540927,1123578,582651,540927,0,0,0,0,0,0,0,0,0,0,0,0
C3010,28,00,0000,State - ANDHRA PRADESH  28,Total,7,1751037,895974,855063,1484728,771340,713388,1484728,771340,713388,0,0,0,0,0,0,0,0,0,0,0,0
C3010,28,00,0000,State - ANDHRA PRADESH  28,Total,8,2037629,1023310,1014319,1761856,904218,857638,1761856,904218,857638,0,0,0,0,0,0,0,0,0,0,0,0
C3010,28,00,0000,State - ANDHRA PRADESH  28,Total,9,1704629,866761,837868,1513549,786738,726811,1513549,786738,726811,0,0,0,0,0,0,0,0,0,0,0,0
C3010,28,00,0000,State - ANDHRA PRADESH  28,Total,10,2171974,1126457,1045517,1777998,956762,821236,1777998,956762,821236,0,0,0,0,0,0,0,0,0,0,0,0
C3010,28,00,0000,State - ANDHRA PRADESH  28,Total,11,1407029,728989,678040,1188037,641634,546403,1188037,641634,546403,0,0,0,0,0,0,0,0,0,0,0,0
C3010,28,00,0000,State - ANDHRA PRADESH  28,Total,12,2038368,1056744,981624,1491153,829060,662093,1491153,829060,662093,0,0,0,0,0,0,0,0,0,0,0,0
C3010,28,00,0000,State - ANDHRA PRADESH  28,Total,13,1544124,783874,760250,1101731,610510,491221,1101731,610510,491221,0,0,0,0,0,0,0,0,0,0,0,0
C3010,28,00,0000,State - ANDHRA PRADESH  28,Total,14,1571478,811657,759821,1004653,573810,430843,1004653,573810,430843,0,0,0,0,0,0,0,0,0,0,0,0
C3010,28,00,0000,State - ANDHRA PRADESH  28,Total,15-19,7579964,3954124,3625840,2849664,1726940,1122724,2232108,1344558,887550,518435,323411,195024,65722,42596,23126,19033,11455,7578,14366,4920,9446
C3010,28,00,0000,State - ANDHRA PRADESH  28,Total,20-24,6936897,3478288,3458609,914257,624928,289329,175350,114365,60985,651615,466884,184731,38540,26836,11704,11866,7250,4616,36886,9593,27293
C3010,28,00,0000,State - ANDHRA PRADESH  28,Total,25-29,6762271,3229258,3533013,164086,99512,64574,0,0,0,80095,61980,18115,22014,17837,4177,12127,8044,4083,49850,11651,38199
C3010,28,00,0000,State - ANDHRA PRADESH  28,Total,30-34,5625505,2857197,2768308,74630,31190,43440,0,0,0,19253,13896,5357,5156,3824,1332,5146,2935,2211,45075,10535,34540
C3010,28,00,0000,State - ANDHRA PRADESH  28,Total,35-59,18985717,9695628,9290089,154803,56203,98600,0,0,0,26291,19488,6803,7255,4903,2352,9152,4826,4326,112105,26986,85119
C3010,28,00,0000,State - ANDHRA PRADESH  28,Total,60+,5788078,2757588,3030490,14156,7248,6908,0,0,0,4500,3341,1159,1485,828,657,1165,706,459,7006,2373,4633
C3010,28,00,0000,State - ANDHRA PRADESH  28,Total,Age not stated,133450,74243,59207,3505,2276,1229,0,0,0,2502,1635,867,581,438,143,213,124,89,209,79,130
C3010,28,00,0000,State - ANDHRA PRADESH  28,Rural,All ages,55401067,27937204,27463863,11834066,6624355,5209711,10953957,6086463,4867494,543309,417976,125333,56423,42429,13994,30101,17140,12961,250276,60347,189929
C3010,28,00,0000,State - ANDHRA PRADESH  28,Rural,0-4,5012932,2548446,2464486,121273,62790,58483,121273,62790,58483,0,0,0,0,0,0,0,0,0,0,0,0
C3010,28,00,0000,State - ANDHRA PRADESH  28,Rural,5,1279744,654876,624868,430265,224097,206168,430265,224097,206168,0,0,0,0,0,0,0,0,0,0,0,0
C3010,28,00,0000,State - ANDHRA PRADESH  28,Rural,6,1329123,679686,649437,845573,440261,405312,845573,440261,405312,0,0,0,0,0,0,0,0,0,0,0,0
C3010,28,00,0000,State - ANDHRA PRADESH  28,Rural,7,1319865,673537,646328,1116636,580601,536035,1116636,580601,536035,0,0,0,0,0,0,0,0,0,0,0,0
C3010,28,00,0000,State - ANDHRA PRADESH  28,Rural,8,1547807,776508,771299,1332717,686633,646084,1332717,686633,646084,0,0,0,0,0,0,0,0,0,0,0,0
C3010,28,00,0000,State - ANDHRA PRADESH  28,Rural,9,1295625,659788,635837,1145767,599626,546141,1145767,599626,546141,0,0,0,0,0,0,0,0,0,0,0,0
C3010,28,00,0000,State - ANDHRA PRADESH  28,Rural,10,1604950,831956,772994,1289186,701282,587904,1289186,701282,587904,0,0,0,0,0,0,0,0,0,0,0,0
C3010,28,00,0000,State - ANDHRA PRADESH  28,Rural,11,1022459,533593,488866,846985,467048,379937,846985,467048,379937,0,0,0,0,0,0,0,0,0,0,0,0
C3010,28,00,0000,State - ANDHRA PRADESH  28,Rural,12,1499479,779886,719593,1045041,597422,447619,1045041,597422,447619,0,0,0,0,0,0,0,0,0,0,0,0
C3010,28,00,0000,State - ANDHRA PRADESH  28,Rural,13,1120720,574103,546617,753317,434797,318520,753317,434797,318520,0,0,0,0,0,0,0,0,0,0,0,0
C3010,28,00,0000,State - ANDHRA PRADESH  28,Rural,14,1121781,584269,537512,657496,394428,263068,657496,394428,263068,0,0,0,0,0,0,0,0,0,0,0,0
C3010,28,00,0000,State - ANDHRA PRADESH  28,Rural,15-19,5263858,2778306,2485552,1568324,1033469,534855,1276890,831873,445017,240794,170982,69812,28019,20222,7797,10035,6348,3687,12586,4044,8542
C3010,28,00,0000,State - ANDHRA PRADESH  28,Rural,20-24,4796962,2396915,2400047,410077,301912,108165,92811,65605,27206,262661,212784,49877,14393,11341,3052,6040,3739,2301,34172,8443,25729
C3010,28,00,0000,State - ANDHRA PRADESH  28,Rural,25-29,4779944,2272443,2507501,88469,45108,43361,0,0,0,27835,24156,3679,8462,7285,1177,5511,3412,2099,46661,10255,36406
