Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Total population - Persons,Total population - Males,Total population - Females,Population attending educational institutions - Persons,Population attending educational institutions - Males,Population attending educational institutions - Females,Type of educational institution - School - Persons,Type of educational institution - School - Males,Type of educational institution - School - Females,Type of educational institution - College - Persons,Type of educational institution - College - Males,Type of educational institution - College - Females,Type of educational institution - Vocational institute - Persons,Type of educational institution - Vocational institute - Males,Type of educational institution - Vocational institute - Females,Type of educational institution - Other institute - Persons,Type of educational institution - Other institute - Males,Type of educational institution - Other institute - Females,Type of educational institution - Literacy centre - Persons,Type of educational institution - Literacy centre - Males,Type of educational institution - Literacy centre - Females
C3010,27,00,0000,State - MAHARASHTRA  27,Total,All ages,96878627,50400596,46478031,24438205,13468362,10969843,21973501,11911641,10061860,1963600,1273517,690083,246992,176602,70390,52362,35663,16699,201750,70939,130811
C3010,27,00,0000,State - MAHARASHTRA  27,Total,0-4,9532843,4983885,4548958,313330,163545,149785,313330,163545,149785,0,0,0,0,0,0,0,0,0,0,0,0
C3010,27,00,0000,State - MAHARASHTRA  27,Total,5,2228695,1174869,1053826,422498,222721,199777,422498,222721,199777,0,0,0,0,0,0,0,0,0,0,0,0
C3010,27,00,0000,State - MAHARASHTRA  27,Total,6,1909588,987678,921910,1034580,540075,494505,1034580,540075,494505,0,0,0,0,0,0,0,0,0,0,0,0
C3010,27,00,0000,State - MAHARASHTRA  27,Total,7,1907819,983187,924632,1670898,869391,801507,1670898,869391,801507,0,0,0,0,0,0,0,0,0,0,0,0
C3010,27,00,0000,State - MAHARASHTRA  27,Total,8,2175403,1129590,1045813,1995317,1045354,949963,1995317,1045354,949963,0,0,0,0,0,0,0,0,0,0,0,0
C3010,27,00,0000,State - MAHARASHTRA  27,Total,9,2008585,1027209,981376,1891386,973981,917405,1891386,973981,917405,0,0,0,0,0,0,0,0,0,0,0,0
C3010,27,00,0000,State - MAHARASHTRA  27,Total,10,2647985,1380917,1267068,2425080,1277092,1147988,2425080,1277092,1147988,0,0,0,0,0,0,0,0,0,0,0,0
C3010,27,00,0000,State - MAHARASHTRA  27,Total,11,2058976,1076838,982138,1931897,1020291,911606,1931897,1020291,911606,0,0,0,0,0,0,0,0,0,0,0,0
C3010,27,00,0000,State - MAHARASHTRA  27,Total,12,2563025,1354063,1208962,2264021,1216777,1047244,2264021,1216777,1047244,0,0,0,0,0,0,0,0,0,0,0,0
C3010,27,00,0000,State - MAHARASHTRA  27,Total,13,1998529,1039517,959012,1753694,933376,820318,1753694,933376,820318,0,0,0,0,0,0,0,0,0,0,0,0
C3010,27,00,0000,State - MAHARASHTRA  27,Total,14,2068927,1094582,974345,1682728,921660,761068,1682728,921660,761068,0,0,0,0,0,0,0,0,0,0,0,0
C3010,27,00,0000,State - MAHARASHTRA  27,Total,15-19,9570648,5262931,4307717,5189633,3050080,2139553,4272659,2496624,1776035,778182,460719,317463,104661,72748,31913,23866,16113,7753,10265,3876,6389
C3010,27,00,0000,State - MAHARASHTRA  27,Total,20-24,8856660,4781322,4075338,1478606,1010848,467758,315413,230754,84659,1032715,696813,335902,86176,63533,22643,12307,8545,3762,31995,11203,20792
C3010,27,00,0000,State - MAHARASHTRA  27,Total,25-29,8218364,4187247,4031117,205025,139796,65229,0,0,0,119122,93033,26089,35024,26389,8635,8336,5810,2526,42543,14564,27979
C3010,27,00,0000,State - MAHARASHTRA  27,Total,30-34,7392720,3800551,3592169,76390,35977,40413,0,0,0,16574,11898,4676,8430,5830,2600,3089,2068,1021,48297,16181,32116
C3010,27,00,0000,State - MAHARASHTRA  27,Total,35-59,23167117,12138304,11028813,89758,39775,49983,0,0,0,12924,8389,4535,10278,6760,3518,4036,2689,1347,62520,21937,40583
C3010,27,00,0000,State - MAHARASHTRA  27,Total,60+,8454660,3932201,4522459,11775,6493,5282,0,0,0,3000,1904,1096,2137,1106,1031,636,363,273,6002,3120,2882
C3010,27,00,0000,State - MAHARASHTRA  27,Total,Age not stated,118083,65705,52378,1589,1130,459,0,0,0,1083,761,322,286,236,50,92,75,17,128,58,70
C3010,27,00,0000,State - MAHARASHTRA  27,Rural,All ages,55777647,28458677,27318970,13713504,7624766,6088738,12706327,6950971,5755356,718378,534532,183846,73274,56190,17084,19915,14651,5264,195610,68422,127188
C3010,27,00,0000,State - MAHARASHTRA  27,Rural,0-4,5873107,3068305,2804802,141948,72973,68975,141948,72973,68975,0,0,0,0,0,0,0,0,0,0,0,0
C3010,27,00,0000,State - MAHARASHTRA  27,Rural,5,1378985,723826,655159,179967,94192,85775,179967,94192,85775,0,0,0,0,0,0,0,0,0,0,0,0
