Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Total population - Persons,Total population - Males,Total population - Females,Population attending educational institutions - Persons,Population attending educational institutions - Males,Population attending educational institutions - Females,Type of educational institution - School - Persons,Type of educational institution - School - Males,Type of educational institution - School - Females,Type of educational institution - College - Persons,Type of educational institution - College - Males,Type of educational institution - College - Females,Type of educational institution - Vocational institute - Persons,Type of educational institution - Vocational institute - Males,Type of educational institution - Vocational institute - Females,Type of educational institution - Other institute - Persons,Type of educational institution - Other institute - Males,Type of educational institution - Other institute - Females,Type of educational institution - Literacy centre - Persons,Type of educational institution - Literacy centre - Males,Type of educational institution - Literacy centre - Females
C3010,24,00,0000,State - GUJARAT  24,Total,All ages,50671017,26385577,24285440,10552630,6023058,4529572,9894834,5608846,4285988,549515,334256,215259,71289,53704,17585,28405,22147,6258,8587,4105,4482
C3010,24,00,0000,State - GUJARAT  24,Total,0-4,5268670,2789888,2478782,83984,45994,37990,83984,45994,37990,0,0,0,0,0,0,0,0,0,0,0,0
C3010,24,00,0000,State - GUJARAT  24,Total,5,1210512,654970,555542,203090,114398,88692,203090,114398,88692,0,0,0,0,0,0,0,0,0,0,0,0
C3010,24,00,0000,State - GUJARAT  24,Total,6,1053222,555290,497932,514970,283150,231820,514970,283150,231820,0,0,0,0,0,0,0,0,0,0,0,0
C3010,24,00,0000,State - GUJARAT  24,Total,7,1117785,586369,531416,875099,475526,399573,875099,475526,399573,0,0,0,0,0,0,0,0,0,0,0,0
C3010,24,00,0000,State - GUJARAT  24,Total,8,1308013,690157,617856,1072747,587579,485168,1072747,587579,485168,0,0,0,0,0,0,0,0,0,0,0,0
C3010,24,00,0000,State - GUJARAT  24,Total,9,992490,523492,468998,865480,470932,394548,865480,470932,394548,0,0,0,0,0,0,0,0,0,0,0,0
C3010,24,00,0000,State - GUJARAT  24,Total,10,1422251,757412,664839,1155697,645076,510621,1155697,645076,510621,0,0,0,0,0,0,0,0,0,0,0,0
C3010,24,00,0000,State - GUJARAT  24,Total,11,925983,500096,425887,805300,451338,353962,805300,451338,353962,0,0,0,0,0,0,0,0,0,0,0,0
C3010,24,00,0000,State - GUJARAT  24,Total,12,1291981,688434,603547,993594,565695,427899,993594,565695,427899,0,0,0,0,0,0,0,0,0,0,0,0
C3010,24,00,0000,State - GUJARAT  24,Total,13,973749,512713,461036,736800,420785,316015,736800,420785,316015,0,0,0,0,0,0,0,0,0,0,0,0
C3010,24,00,0000,State - GUJARAT  24,Total,14,1059512,555767,503745,699793,408973,290820,699793,408973,290820,0,0,0,0,0,0,0,0,0,0,0,0
C3010,24,00,0000,State - GUJARAT  24,Total,15-19,5183754,2756478,2427276,2009272,1201810,807462,1763665,1055849,707816,201631,112020,89611,31971,25092,6879,11650,8668,2982,355,181,174
C3010,24,00,0000,State - GUJARAT  24,Total,20-24,4839265,2538544,2300721,458665,296903,161762,124615,83551,41064,312450,196874,115576,16023,12357,3666,4459,3623,836,1118,498,620
C3010,24,00,0000,State - GUJARAT  24,Total,25-29,4224871,2182059,2042812,38557,28129,10428,0,0,0,25537,18715,6822,8570,6386,2184,3072,2385,687,1378,643,735
