Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Total population - Persons,Total population - Males,Total population - Females,Population attending educational institutions - Persons,Population attending educational institutions - Males,Population attending educational institutions - Females,Type of educational institution - School - Persons,Type of educational institution - School - Males,Type of educational institution - School - Females,Type of educational institution - College - Persons,Type of educational institution - College - Males,Type of educational institution - College - Females,Type of educational institution - Vocational institute - Persons,Type of educational institution - Vocational institute - Males,Type of educational institution - Vocational institute - Females,Type of educational institution - Other institute - Persons,Type of educational institution - Other institute - Males,Type of educational institution - Other institute - Females,Type of educational institution - Literacy centre - Persons,Type of educational institution - Literacy centre - Males,Type of educational institution - Literacy centre - Females
C3010,21,00,0000,State - ORISSA  21,Total,All ages,36804660,18660570,18144090,7357488,4097723,3259765,6649875,3637183,3012692,566845,376640,190205,47284,35193,12091,13887,9991,3896,79597,38716,40881
C3010,21,00,0000,State - ORISSA  21,Total,0-4,3573657,1823878,1749779,67326,34647,32679,67326,34647,32679,0,0,0,0,0,0,0,0,0,0,0,0
C3010,21,00,0000,State - ORISSA  21,Total,5,948256,490376,457880,213915,114806,99109,213915,114806,99109,0,0,0,0,0,0,0,0,0,0,0,0
C3010,21,00,0000,State - ORISSA  21,Total,6,836897,430298,406599,386361,207346,179015,386361,207346,179015,0,0,0,0,0,0,0,0,0,0,0,0
C3010,21,00,0000,State - ORISSA  21,Total,7,852227,426526,425701,604003,315348,288655,604003,315348,288655,0,0,0,0,0,0,0,0,0,0,0,0
C3010,21,00,0000,State - ORISSA  21,Total,8,1027635,527368,500267,750444,405043,345401,750444,405043,345401,0,0,0,0,0,0,0,0,0,0,0,0
C3010,21,00,0000,State - ORISSA  21,Total,9,712590,366328,346262,571598,307493,264105,571598,307493,264105,0,0,0,0,0,0,0,0,0,0,0,0
C3010,21,00,0000,State - ORISSA  21,Total,10,1105838,570436,535402,805402,441921,363481,805402,441921,363481,0,0,0,0,0,0,0,0,0,0,0,0
C3010,21,00,0000,State - ORISSA  21,Total,11,610663,317111,293552,499720,272175,227545,499720,272175,227545,0,0,0,0,0,0,0,0,0,0,0,0
C3010,21,00,0000,State - ORISSA  21,Total,12,1079525,554014,525511,740720,410418,330302,740720,410418,330302,0,0,0,0,0,0,0,0,0,0,0,0
C3010,21,00,0000,State - ORISSA  21,Total,13,682748,341385,341363,489671,264526,225145,489671,264526,225145,0,0,0,0,0,0,0,0,0,0,0,0
C3010,21,00,0000,State - ORISSA  21,Total,14,777836,388153,389683,489720,269117,220603,489720,269117,220603,0,0,0,0,0,0,0,0,0,0,0,0
C3010,21,00,0000,State - ORISSA  21,Total,15-19,3531384,1760391,1770993,1260544,735237,525307,980995,561924,419071,252283,155762,96521,16728,12033,4695,4862,3159,1703,5676,2359,3317
C3010,21,00,0000,State - ORISSA  21,Total,20-24,3190193,1600793,1589400,364832,246852,117980,50000,32419,17581,282606,195583,87023,14838,10710,4128,3214,2282,932,14174,5858,8316
C3010,21,00,0000,State - ORISSA  21,Total,25-29,3108955,1518820,1590135,54749,38486,16263,0,0,0,24741,19984,4757,9547,7934,1613,3161,2545,616,17300,8023,9277
C3010,21,00,0000,State - ORISSA  21,Total,30-34,2761000,1376140,1384860,21015,11992,9023,0,0,0,3177,2512,665,2175,1710,465,891,697,194,14772,7073,7699
C3010,21,00,0000,State - ORISSA  21,Total,35-59,8904094,4631444,4272650,31361,18430,12931,0,0,0,2235,1612,623,2957,2107,850,1291,980,311,24878,13731,11147
C3010,21,00,0000,State - ORISSA  21,Total,60+,3039100,1502730,1536370,4772,2954,1818,0,0,0,1067,713,354,640,356,284,386,272,114,2679,1613,1066
C3010,21,00,0000,State - ORISSA  21,Total,Age not stated,62062,34379,27683,1335,932,403,0,0,0,736,474,262,399,343,56,82,56,26,118,59,59
C3010,21,00,0000,State - ORISSA  21,Rural,All ages,31287422,15748970,15538452,5966649,3338303,2628346,5509881,3033619,2476262,351654,246191,105463,19579,15214,4365,7176,5089,2087,78359,38190,40169
C3010,21,00,0000,State - ORISSA  21,Rural,0-4,3131603,1595977,1535626,51587,26471,25116,51587,26471,25116,0,0,0,0,0,0,0,0,0,0,0,0
C3010,21,00,0000,State - ORISSA  21,Rural,5,831437,429668,401769,179184,96383,82801,179184,96383,82801,0,0,0,0,0,0,0,0,0,0,0,0
C3010,21,00,0000,State - ORISSA  21,Rural,6,733318,376287,357031,330450,177857,152593,330450,177857,152593,0,0,0,0,0,0,0,0,0,0,0,0
C3010,21,00,0000,State - ORISSA  21,Rural,7,741568,370442,371126,513205,268466,244739,513205,268466,244739,0,0,0,0,0,0,0,0,0,0,0,0
C3010,21,00,0000,State - ORISSA  21,Rural,8,899142,460537,438605,642912,347851,295061,642912,347851,295061,0,0,0,0,0,0,0,0,0,0,0,0
C3010,21,00,0000,State - ORISSA  21,Rural,9,615087,315776,299311,485651,262166,223485,485651,262166,223485,0,0,0,0,0,0,0,0,0,0,0,0
C3010,21,00,0000,State - ORISSA  21,Rural,10,960519,494381,466138,684367,377037,307330,684367,377037,307330,0,0,0,0,0,0,0,0,0,0,0,0
C3010,21,00,0000,State - ORISSA  21,Rural,11,514446,267111,247335,414296,227104,187192,414296,227104,187192,0,0,0,0,0,0,0,0,0,0,0,0
C3010,21,00,0000,State - ORISSA  21,Rural,12,932166,477513,454653,621794,347166,274628,621794,347166,274628,0,0,0,0,0,0,0,0,0,0,0,0
C3010,21,00,0000,State - ORISSA  21,Rural,13,574617,287029,287588,399888,218344,181544,399888,218344,181544,0,0,0,0,0,0,0,0,0,0,0,0
C3010,21,00,0000,State - ORISSA  21,Rural,14,658596,327460,331136,397814,220964,176850,397814,220964,176850,0,0,0,0,0,0,0,0,0,0,0,0
C3010,21,00,0000,State - ORISSA  21,Rural,15-19,2945866,1452934,1492932,928368,553537,374831,749816,438022,311794,163472,106307,57165,6675,5120,1555,2809,1755,1054,5596,2333,3263
C3010,21,00,0000,State - ORISSA  21,Rural,20-24,2629115,1301093,1328022,229573,161384,68189,38917,25788,13129,169865,124510,45355,5432,4263,1169,1370,1026,344,13989,5797,8192
C3010,21,00,0000,State - ORISSA  21,Rural,25-29,2587377,1252683,1334694,36925,24817,12108,0,0,0,14660,12522,2138,3817,3256,561,1377,1117,260,17071,7922,9149
