Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Total population - Persons,Total population - Males,Total population - Females,Population attending educational institutions - Persons,Population attending educational institutions - Males,Population attending educational institutions - Females,Type of educational institution - School - Persons,Type of educational institution - School - Males,Type of educational institution - School - Females,Type of educational institution - College - Persons,Type of educational institution - College - Males,Type of educational institution - College - Females,Type of educational institution - Vocational institute - Persons,Type of educational institution - Vocational institute - Males,Type of educational institution - Vocational institute - Females,Type of educational institution - Other institute - Persons,Type of educational institution - Other institute - Males,Type of educational institution - Other institute - Females,Type of educational institution - Literacy centre - Persons,Type of educational institution - Literacy centre - Males,Type of educational institution - Literacy centre - Females
C3010,18,00,0000,State - ASSAM  18,Total,All ages,26655528,13777037,12878491,5921209,3175461,2745748,5422201,2869119,2553082,459367,279372,179995,16605,11770,4835,17080,11919,5161,5956,3281,2675
C3010,18,00,0000,State - ASSAM  18,Total,0-4,3033998,1539293,1494705,72801,37674,35127,72801,37674,35127,0,0,0,0,0,0,0,0,0,0,0,0
C3010,18,00,0000,State - ASSAM  18,Total,5,718082,369032,349050,135333,71328,64005,135333,71328,64005,0,0,0,0,0,0,0,0,0,0,0,0
C3010,18,00,0000,State - ASSAM  18,Total,6,745995,380791,365204,295727,154280,141447,295727,154280,141447,0,0,0,0,0,0,0,0,0,0,0,0
C3010,18,00,0000,State - ASSAM  18,Total,7,727665,369471,358194,447048,233411,213637,447048,233411,213637,0,0,0,0,0,0,0,0,0,0,0,0
C3010,18,00,0000,State - ASSAM  18,Total,8,836315,429121,407194,539906,284892,255014,539906,284892,255014,0,0,0,0,0,0,0,0,0,0,0,0
C3010,18,00,0000,State - ASSAM  18,Total,9,575644,289818,285826,419991,216042,203949,419991,216042,203949,0,0,0,0,0,0,0,0,0,0,0,0
C3010,18,00,0000,State - ASSAM  18,Total,10,875099,454024,421075,591630,315109,276521,591630,315109,276521,0,0,0,0,0,0,0,0,0,0,0,0
C3010,18,00,0000,State - ASSAM  18,Total,11,449531,227842,221689,345658,178775,166883,345658,178775,166883,0,0,0,0,0,0,0,0,0,0,0,0
C3010,18,00,0000,State - ASSAM  18,Total,12,841936,440289,401647,558661,299262,259399,558661,299262,259399,0,0,0,0,0,0,0,0,0,0,0,0
C3010,18,00,0000,State - ASSAM  18,Total,13,531130,268600,262530,376136,193879,182257,376136,193879,182257,0,0,0,0,0,0,0,0,0,0,0,0
C3010,18,00,0000,State - ASSAM  18,Total,14,634947,327214,307733,408674,213490,195184,408674,213490,195184,0,0,0,0,0,0,0,0,0,0,0,0
C3010,18,00,0000,State - ASSAM  18,Total,15-19,2610793,1368367,1242426,1209617,655328,554289,1060936,570277,490659,139582,78393,61189,3237,2355,882,5515,4130,1385,347,173,174
C3010,18,00,0000,State - ASSAM  18,Total,20-24,2315138,1157866,1157272,436079,263996,172083,169700,100700,69000,255663,155992,99671,6267,4534,1733,3759,2428,1331,690,342,348
C3010,18,00,0000,State - ASSAM  18,Total,25-29,2315931,1125381,1190550,58240,39935,18305,0,0,0,49105,33896,15209,3574,2523,1051,4638,3063,1575,923,453,470
C3010,18,00,0000,State - ASSAM  18,Total,30-34,1978201,1006114,972087,12640,9153,3487,0,0,0,9119,6840,2279,1266,862,404,1423,1029,394,832,422,410
C3010,18,00,0000,State - ASSAM  18,Total,35-59,5875783,3206021,2669762,10819,7486,3333,0,0,0,4880,3602,1278,1834,1236,598,1501,1098,403,2604,1550,1054
C3010,18,00,0000,State - ASSAM  18,Total,60+,1560366,800585,759781,1732,1084,648,0,0,0,650,432,218,320,173,147,211,145,66,551,334,217
C3010,18,00,0000,State - ASSAM  18,Total,Age not stated,28974,17208,11766,517,337,180,0,0,0,368,217,151,107,87,20,33,26,7,9,7,2
C3010,18,00,0000,State - ASSAM  18,Rural,All ages,23216288,11939945,11276343,4993156,2685399,2307757,4641911,2463999,2177912,324894,203345,121549,8759,6028,2731,12446,9192,3254,5146,2835,2311
C3010,18,00,0000,State - ASSAM  18,Rural,0-4,2767570,1402617,1364953,55126,28320,26806,55126,28320,26806,0,0,0,0,0,0,0,0,0,0,0,0
C3010,18,00,0000,State - ASSAM  18,Rural,5,653626,335458,318168,110458,58248,52210,110458,58248,52210,0,0,0,0,0,0,0,0,0,0,0,0
C3010,18,00,0000,State - ASSAM  18,Rural,6,683211,348424,334787,256498,133898,122600,256498,133898,122600,0,0,0,0,0,0,0,0,0,0,0,0
C3010,18,00,0000,State - ASSAM  18,Rural,7,657618,333486,324132,388050,202664,185386,388050,202664,185386,0,0,0,0,0,0,0,0,0,0,0,0
C3010,18,00,0000,State - ASSAM  18,Rural,8,761257,389963,371294,475458,250685,224773,475458,250685,224773,0,0,0,0,0,0,0,0,0,0,0,0
C3010,18,00,0000,State - ASSAM  18,Rural,9,516260,259695,256565,367120,188874,178246,367120,188874,178246,0,0,0,0,0,0,0,0,0,0,0,0
C3010,18,00,0000,State - ASSAM  18,Rural,10,787409,408374,379035,516838,275373,241465,516838,275373,241465,0,0,0,0,0,0,0,0,0,0,0,0
C3010,18,00,0000,State - ASSAM  18,Rural,11,390059,197635,192424,292493,151327,141166,292493,151327,141166,0,0,0,0,0,0,0,0,0,0,0,0
C3010,18,00,0000,State - ASSAM  18,Rural,12,753495,394512,358983,485137,260377,224760,485137,260377,224760,0,0,0,0,0,0,0,0,0,0,0,0
C3010,18,00,0000,State - ASSAM  18,Rural,13,462232,234242,227990,317644,164302,153342,317644,164302,153342,0,0,0,0,0,0,0,0,0,0,0,0
C3010,18,00,0000,State - ASSAM  18,Rural,14,559158,289101,270057,347777,182629,165148,347777,182629,165148,0,0,0,0,0,0,0,0,0,0,0,0
C3010,18,00,0000,State - ASSAM  18,Rural,15-19,2270735,1192131,1078604,990172,541955,448217,884452,480030,404422,98824,56758,42066,1742,1274,468,4838,3734,1104,316,159,157
C3010,18,00,0000,State - ASSAM  18,Rural,20-24,1971154,976886,994268,329540,203478,126062,144860,87272,57588,178512,112008,66504,2840,1988,852,2707,1903,804,621,307,314
C3010,18,00,0000,State - ASSAM  18,Rural,25-29,1967157,948411,1018746,41950,29719,12231,0,0,0,36717,26247,10470,1717,1192,525,2722,1889,833,794,391,403
C3010,18,00,0000,State - ASSAM  18,Rural,30-34,1671602,842485,829117,9570,7085,2485,0,0,0,7114,5496,1618,804,522,282,938,709,229,714,358,356
C3010,18,00,0000,State - ASSAM  18,Rural,35-59,4958905,2676469,2282436,7747,5465,2282,0,0,0,3110,2435,675,1370,899,471,1033,808,225,2234,1323,911
C3010,18,00,0000,State - ASSAM  18,Rural,60+,1361247,696202,665045,1281,812,469,0,0,0,375,258,117,265,137,128,182,126,56,459,291,168
C3010,18,00,0000,State - ASSAM  18,Rural,Age not stated,23593,13854,9739,297,188,109,0,0,0,242,143,99,21,16,5,26,23,3,8,6,2
C3010,18,00,0000,State - ASSAM  18,Urban,All ages,3439240,1837092,1602148,928053,490062,437991,780290,405120,375170,134473,76027,58446,7846,5742,2104,4634,2727,1907,810,446,364
C3010,18,00,0000,State - ASSAM  18,Urban,0-4,266428,136676,129752,17675,9354,8321,17675,9354,8321,0,0,0,0,0,0,0,0,0,0,0,0
C3010,18,00,0000,State - ASSAM  18,Urban,5,64456,33574,30882,24875,13080,11795,24875,13080,11795,0,0,0,0,0,0,0,0,0,0,0,0
C3010,18,00,0000,State - ASSAM  18,Urban,6,62784,32367,30417,39229,20382,18847,39229,20382,18847,0,0,0,0,0,0,0,0,0,0,0,0
C3010,18,00,0000,State - ASSAM  18,Urban,7,70047,35985,34062,58998,30747,28251,58998,30747,28251,0,0,0,0,0,0,0,0,0,0,0,0
C3010,18,00,0000,State - ASSAM  18,Urban,8,75058,39158,35900,64448,34207,30241,64448,34207,30241,0,0,0,0,0,0,0,0,0,0,0,0
C3010,18,00,0000,State - ASSAM  18,Urban,9,59384,30123,29261,52871,27168,25703,52871,27168,25703,0,0,0,0,0,0,0,0,0,0,0,0
C3010,18,00,0000,State - ASSAM  18,Urban,10,87690,45650,42040,74792,39736,35056,74792,39736,35056,0,0,0,0,0,0,0,0,0,0,0,0
C3010,18,00,0000,State - ASSAM  18,Urban,11,59472,30207,29265,53165,27448,25717,53165,27448,25717,0,0,0,0,0,0,0,0,0,0,0,0
C3010,18,00,0000,State - ASSAM  18,Urban,12,88441,45777,42664,73524,38885,34639,73524,38885,34639,0,0,0,0,0,0,0,0,0,0,0,0
C3010,18,00,0000,State - ASSAM  18,Urban,13,68898,34358,34540,58492,29577,28915,58492,29577,28915,0,0,0,0,0,0,0,0,0,0,0,0
C3010,18,00,0000,State - ASSAM  18,Urban,14,75789,38113,37676,60897,30861,30036,60897,30861,30036,0,0,0,0,0,0,0,0,0,0,0,0
C3010,18,00,0000,State - ASSAM  18,Urban,15-19,340058,176236,163822,219445,113373,106072,176484,90247,86237,40758,21635,19123,1495,1081,414,677,396,281,31,14,17
C3010,18,00,0000,State - ASSAM  18,Urban,20-24,343984,180980,163004,106539,60518,46021,24840,13428,11412,77151,43984,33167,3427,2546,881,1052,525,527,69,35,34
C3010,18,00,0000,State - ASSAM  18,Urban,25-29,348774,176970,171804,16290,10216,6074,0,0,0,12388,7649,4739,1857,1331,526,1916,1174,742,129,62,67
C3010,18,00,0000,State - ASSAM  18,Urban,30-34,306599,163629,142970,3070,2068,1002,0,0,0,2005,1344,661,462,340,122,485,320,165,118,64,54
C3010,18,00,0000,State - ASSAM  18,Urban,35-59,916878,529552,387326,3072,2021,1051,0,0,0,1770,1167,603,464,337,127,468,290,178,370,227,143
C3010,18,00,0000,State - ASSAM  18,Urban,60+,199119,104383,94736,451,272,179,0,0,0,275,174,101,55,36,19,29,19,10,92,43,49
C3010,18,00,0000,State - ASSAM  18,Urban,Age not stated,5381,3354,2027,220,149,71,0,0,0,126,74,52,86,71,15,7,3,4,1,1,0
C3010,18,01,0000,District - Kokrajhar  01,Total,All ages,905764,466191,439573,197413,108759,88654,183508,99224,84284,12804,8771,4033,492,365,127,354,227,127,255,172,83
C3010,18,01,0000,District - Kokrajhar  01,Total,0-4,107419,54826,52593,2859,1459,1400,2859,1459,1400,0,0,0,0,0,0,0,0,0,0,0,0
C3010,18,01,0000,District - Kokrajhar  01,Total,5,26115,13577,12538,5331,2879,2452,5331,2879,2452,0,0,0,0,0,0,0,0,0,0,0,0
C3010,18,01,0000,District - Kokrajhar  01,Total,6,29307,15191,14116,11100,5814,5286,11100,5814,5286,0,0,0,0,0,0,0,0,0,0,0,0
