Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Total population - Persons,Total population - Males,Total population - Females,Population attending educational institutions - Persons,Population attending educational institutions - Males,Population attending educational institutions - Females,Type of educational institution - School - Persons,Type of educational institution - School - Males,Type of educational institution - School - Females,Type of educational institution - College - Persons,Type of educational institution - College - Males,Type of educational institution - College - Females,Type of educational institution - Vocational institute - Persons,Type of educational institution - Vocational institute - Males,Type of educational institution - Vocational institute - Females,Type of educational institution - Other institute - Persons,Type of educational institution - Other institute - Males,Type of educational institution - Other institute - Females,Type of educational institution - Literacy centre - Persons,Type of educational institution - Literacy centre - Males,Type of educational institution - Literacy centre - Females
C3010,09,00,0000,State - UTTAR PRADESH  09,Total,All ages,166197921,87565369,78632552,37171705,22146626,15025079,34625154,20403702,14221452,2222688,1532998,689690,127197,94497,32700,99092,70741,28351,97574,44688,52886
C3010,09,00,0000,State - UTTAR PRADESH  09,Total,0-4,20721672,10741471,9980201,431425,232513,198912,431425,232513,198912,0,0,0,0,0,0,0,0,0,0,0,0
C3010,09,00,0000,State - UTTAR PRADESH  09,Total,5,5472211,2937216,2534995,842976,475641,367335,842976,475641,367335,0,0,0,0,0,0,0,0,0,0,0,0
C3010,09,00,0000,State - UTTAR PRADESH  09,Total,6,5430745,2830346,2600399,1666405,920665,745740,1666405,920665,745740,0,0,0,0,0,0,0,0,0,0,0,0
C3010,09,00,0000,State - UTTAR PRADESH  09,Total,7,4095286,2144766,1950520,2444755,1351842,1092913,2444755,1351842,1092913,0,0,0,0,0,0,0,0,0,0,0,0
C3010,09,00,0000,State - UTTAR PRADESH  09,Total,8,6506706,3453580,3053126,4295065,2417245,1877820,4295065,2417245,1877820,0,0,0,0,0,0,0,0,0,0,0,0
C3010,09,00,0000,State - UTTAR PRADESH  09,Total,9,3386278,1778582,1607696,2528102,1399306,1128796,2528102,1399306,1128796,0,0,0,0,0,0,0,0,0,0,0,0
C3010,09,00,0000,State - UTTAR PRADESH  09,Total,10,6989425,3805802,3183623,4928822,2865337,2063485,4928822,2865337,2063485,0,0,0,0,0,0,0,0,0,0,0,0
C3010,09,00,0000,State - UTTAR PRADESH  09,Total,11,2663137,1430368,1232769,2046117,1168260,877857,2046117,1168260,877857,0,0,0,0,0,0,0,0,0,0,0,0
C3010,09,00,0000,State - UTTAR PRADESH  09,Total,12,5738274,3120058,2618216,4003330,2367764,1635566,4003330,2367764,1635566,0,0,0,0,0,0,0,0,0,0,0,0
C3010,09,00,0000,State - UTTAR PRADESH  09,Total,13,3047586,1585504,1462082,2127115,1219649,907466,2127115,1219649,907466,0,0,0,0,0,0,0,0,0,0,0,0
C3010,09,00,0000,State - UTTAR PRADESH  09,Total,14,3872012,2044323,1827689,2406828,1438888,967940,2406828,1438888,967940,0,0,0,0,0,0,0,0,0,0,0,0
C3010,09,00,0000,State - UTTAR PRADESH  09,Total,15-19,16044841,8976423,7068418,6957302,4505241,2452061,6138969,3993601,2145368,731378,452570,278808,33184,23879,9305,47106,32039,15067,6665,3152,3513
C3010,09,00,0000,State - UTTAR PRADESH  09,Total,20-24,13311974,6974638,6337336,1962387,1394676,567711,765245,552991,212254,1125558,792910,332648,33359,25977,7382,19928,15439,4489,18297,7359,10938
C3010,09,00,0000,State - UTTAR PRADESH  09,Total,25-29,11792446,5981334,5811112,257110,196134,60976,0,0,0,196796,155436,41360,27172,21687,5485,13927,10894,3033,19215,8117,11098
C3010,09,00,0000,State - UTTAR PRADESH  09,Total,30-34,10814273,5339396,5474877,89427,61485,27942,0,0,0,57773,44153,13620,9021,6504,2517,4971,3453,1518,17662,7375,10287
C3010,09,00,0000,State - UTTAR PRADESH  09,Total,35-59,33924676,17838912,16085764,148090,106546,41544,0,0,0,90407,72168,18239,18634,12886,5748,9503,6494,3009,29546,14998,14548
C3010,09,00,0000,State - UTTAR PRADESH  09,Total,60+,11649468,6174894,5474574,27996,19856,8140,0,0,0,14656,11658,2998,4925,3004,1921,2712,1778,934,5703,3416,2287
C3010,09,00,0000,State - UTTAR PRADESH  09,Total,Age not stated,736911,407756,329155,8453,5578,2875,0,0,0,6120,4103,2017,902,560,342,945,644,301,486,271,215
C3010,09,00,0000,State - UTTAR PRADESH  09,Rural,All ages,131658339,69157470,62500869,28017938,17069571,10948367,26612326,16015226,10597100,1201163,932870,268293,60384,44737,15647,54760,36851,17909,89305,39887,49418
C3010,09,00,0000,State - UTTAR PRADESH  09,Rural,0-4,17211773,8888667,8323106,271364,146840,124524,271364,146840,124524,0,0,0,0,0,0,0,0,0,0,0,0
C3010,09,00,0000,State - UTTAR PRADESH  09,Rural,5,4557919,2444394,2113525,596474,339689,256785,596474,339689,256785,0,0,0,0,0,0,0,0,0,0,0,0
C3010,09,00,0000,State - UTTAR PRADESH  09,Rural,6,4489521,2337381,2152140,1297861,723079,574782,1297861,723079,574782,0,0,0,0,0,0,0,0,0,0,0,0
C3010,09,00,0000,State - UTTAR PRADESH  09,Rural,7,3346064,1750926,1595138,1944947,1083495,861452,1944947,1083495,861452,0,0,0,0,0,0,0,0,0,0,0,0
C3010,09,00,0000,State - UTTAR PRADESH  09,Rural,8,5344951,2835660,2509291,3480782,1973830,1506952,3480782,1973830,1506952,0,0,0,0,0,0,0,0,0,0,0,0
C3010,09,00,0000,State - UTTAR PRADESH  09,Rural,9,2743513,1440525,1302988,2033998,1135025,898973,2033998,1135025,898973,0,0,0,0,0,0,0,0,0,0,0,0
C3010,09,00,0000,State - UTTAR PRADESH  09,Rural,10,5676700,3094016,2582684,3966793,2332921,1633872,3966793,2332921,1633872,0,0,0,0,0,0,0,0,0,0,0,0
C3010,09,00,0000,State - UTTAR PRADESH  09,Rural,11,2066387,1111812,954575,1574333,912731,661602,1574333,912731,661602,0,0,0,0,0,0,0,0,0,0,0,0
C3010,09,00,0000,State - UTTAR PRADESH  09,Rural,12,4559308,2485290,2074018,3137304,1893396,1243908,3137304,1893396,1243908,0,0,0,0,0,0,0,0,0,0,0,0
C3010,09,00,0000,State - UTTAR PRADESH  09,Rural,13,2358494,1234033,1124461,1612500,952404,660096,1612500,952404,660096,0,0,0,0,0,0,0,0,0,0,0,0
C3010,09,00,0000,State - UTTAR PRADESH  09,Rural,14,2962358,1570447,1391911,1788784,1109717,679067,1788784,1109717,679067,0,0,0,0,0,0,0,0,0,0,0,0
C3010,09,00,0000,State - UTTAR PRADESH  09,Rural,15-19,12099227,6816726,5282501,4826863,3329067,1497796,4366176,3007141,1359035,411738,290292,121446,14967,11022,3945,28098,17891,10207,5884,2721,3163
C3010,09,00,0000,State - UTTAR PRADESH  09,Rural,20-24,10086238,5184733,4901505,1161608,892467,269141,541010,404958,136052,581151,463454,117697,13683,10988,2695,8780,6482,2298,16984,6585,10399
C3010,09,00,0000,State - UTTAR PRADESH  09,Rural,25-29,9188763,4620833,4567930,145610,115601,30009,0,0,0,110482,94527,15955,11195,9228,1967,6046,4540,1506,17887,7306,10581
C3010,09,00,0000,State - UTTAR PRADESH  09,Rural,30-34,8473730,4156074,4317656,59228,41314,17914,0,0,0,34716,29125,5591,4984,3492,1492,2952,1947,1005,16576,6750,9826
C3010,09,00,0000,State - UTTAR PRADESH  09,Rural,35-59,26277823,13734372,12543451,96550,71677,24873,0,0,0,52075,46387,5688,11529,7679,3850,6285,4277,2008,26661,13334,13327
C3010,09,00,0000,State - UTTAR PRADESH  09,Rural,60+,9624525,5127585,4496940,17895,12820,5075,0,0,0,7611,6602,1009,3465,2006,1459,1909,1250,659,4910,2962,1948
C3010,09,00,0000,State - UTTAR PRADESH  09,Rural,Age not stated,591045,323996,267049,5044,3498,1546,0,0,0,3390,2483,907,561,322,239,690,464,226,403,229,174
C3010,09,00,0000,State - UTTAR PRADESH  09,Urban,All ages,34539582,18407899,16131683,9153767,5077055,4076712,8012828,4388476,3624352,1021525,600128,421397,66813,49760,17053,44332,33890,10442,8269,4801,3468
C3010,09,00,0000,State - UTTAR PRADESH  09,Urban,0-4,3509899,1852804,1657095,160061,85673,74388,160061,85673,74388,0,0,0,0,0,0,0,0,0,0,0,0
C3010,09,00,0000,State - UTTAR PRADESH  09,Urban,5,914292,492822,421470,246502,135952,110550,246502,135952,110550,0,0,0,0,0,0,0,0,0,0,0,0
