Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Total population - Persons,Total population - Males,Total population - Females,Population attending educational institutions - Persons,Population attending educational institutions - Males,Population attending educational institutions - Females,Type of educational institution - School - Persons,Type of educational institution - School - Males,Type of educational institution - School - Females,Type of educational institution - College - Persons,Type of educational institution - College - Males,Type of educational institution - College - Females,Type of educational institution - Vocational institute - Persons,Type of educational institution - Vocational institute - Males,Type of educational institution - Vocational institute - Females,Type of educational institution - Other institute - Persons,Type of educational institution - Other institute - Males,Type of educational institution - Other institute - Females,Type of educational institution - Literacy centre - Persons,Type of educational institution - Literacy centre - Males,Type of educational institution - Literacy centre - Females
C3010,06,00,0000,State - HARYANA  06,Total,All ages,21144564,11363953,9780611,5438016,3145336,2292680,5050725,2900217,2150508,320450,199477,120973,41742,30596,11146,22304,13855,8449,2795,1191,1604
C3010,06,00,0000,State - HARYANA  06,Total,0-4,2273739,1251155,1022584,54645,31001,23644,54645,31001,23644,0,0,0,0,0,0,0,0,0,0,0,0
C3010,06,00,0000,State - HARYANA  06,Total,5,541376,300824,240552,92554,53646,38908,92554,53646,38908,0,0,0,0,0,0,0,0,0,0,0,0
C3010,06,00,0000,State - HARYANA  06,Total,6,520422,281676,238746,208204,117136,91068,208204,117136,91068,0,0,0,0,0,0,0,0,0,0,0,0
C3010,06,00,0000,State - HARYANA  06,Total,7,483397,263333,220064,368527,206903,161624,368527,206903,161624,0,0,0,0,0,0,0,0,0,0,0,0
C3010,06,00,0000,State - HARYANA  06,Total,8,601638,326537,275101,499211,278913,220298,499211,278913,220298,0,0,0,0,0,0,0,0,0,0,0,0
C3010,06,00,0000,State - HARYANA  06,Total,9,476132,257266,218866,421759,233309,188450,421759,233309,188450,0,0,0,0,0,0,0,0,0,0,0,0
C3010,06,00,0000,State - HARYANA  06,Total,10,631695,343334,288361,550604,307941,242663,550604,307941,242663,0,0,0,0,0,0,0,0,0,0,0,0
C3010,06,00,0000,State - HARYANA  06,Total,11,451588,244124,207464,404713,224681,180032,404713,224681,180032,0,0,0,0,0,0,0,0,0,0,0,0
C3010,06,00,0000,State - HARYANA  06,Total,12,612847,330224,282623,521128,291830,229298,521128,291830,229298,0,0,0,0,0,0,0,0,0,0,0,0
C3010,06,00,0000,State - HARYANA  06,Total,13,466115,241448,224667,388745,212089,176656,388745,212089,176656,0,0,0,0,0,0,0,0,0,0,0,0
C3010,06,00,0000,State - HARYANA  06,Total,14,521031,277317,243714,403317,229291,174026,403317,229291,174026,0,0,0,0,0,0,0,0,0,0,0,0
