Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Total population - Persons,Total population - Males,Total population - Females,Population attending educational institutions - Persons,Population attending educational institutions - Males,Population attending educational institutions - Females,Type of educational institution - School - Persons,Type of educational institution - School - Males,Type of educational institution - School - Females,Type of educational institution - College - Persons,Type of educational institution - College - Males,Type of educational institution - College - Females,Type of educational institution - Vocational institute - Persons,Type of educational institution - Vocational institute - Males,Type of educational institution - Vocational institute - Females,Type of educational institution - Other institute - Persons,Type of educational institution - Other institute - Males,Type of educational institution - Other institute - Females,Type of educational institution - Literacy centre - Persons,Type of educational institution - Literacy centre - Males,Type of educational institution - Literacy centre - Females
C3010,32,00,0000,State - KERALA  32,Total,All ages,31841374,15468614,16372760,7422240,3768662,3653578,6448942,3277509,3171433,643450,297528,345922,221550,129342,92208,102911,62292,40619,5387,1991,3396
C3010,32,00,0000,State - KERALA  32,Total,0-4,2765164,1409487,1355677,123868,62244,61624,123868,62244,61624,0,0,0,0,0,0,0,0,0,0,0,0
C3010,32,00,0000,State - KERALA  32,Total,5,545221,279470,265751,201583,102402,99181,201583,102402,99181,0,0,0,0,0,0,0,0,0,0,0,0
C3010,32,00,0000,State - KERALA  32,Total,6,482761,246070,236691,354451,179573,174878,354451,179573,174878,0,0,0,0,0,0,0,0,0,0,0,0
C3010,32,00,0000,State - KERALA  32,Total,7,501471,254525,246946,480869,243790,237079,480869,243790,237079,0,0,0,0,0,0,0,0,0,0,0,0
C3010,32,00,0000,State - KERALA  32,Total,8,521674,265367,256307,509672,259136,250536,509672,259136,250536,0,0,0,0,0,0,0,0,0,0,0,0
C3010,32,00,0000,State - KERALA  32,Total,9,493054,250247,242807,484224,245705,238519,484224,245705,238519,0,0,0,0,0,0,0,0,0,0,0,0
C3010,32,00,0000,State - KERALA  32,Total,10,586773,302241,284532,574890,296147,278743,574890,296147,278743,0,0,0,0,0,0,0,0,0,0,0,0
C3010,32,00,0000,State - KERALA  32,Total,11,513612,262369,251243,505078,257990,247088,505078,257990,247088,0,0,0,0,0,0,0,0,0,0,0,0
C3010,32,00,0000,State - KERALA  32,Total,12,639568,329463,310105,626078,322395,303683,626078,322395,303683,0,0,0,0,0,0,0,0,0,0,0,0
C3010,32,00,0000,State - KERALA  32,Total,13,628616,315605,313011,612020,307135,304885,612020,307135,304885,0,0,0,0,0,0,0,0,0,0,0,0
C3010,32,00,0000,State - KERALA  32,Total,14,618631,314164,304467,587746,297710,290036,587746,297710,290036,0,0,0,0,0,0,0,0,0,0,0,0
C3010,32,00,0000,State - KERALA  32,Total,15-19,2984506,1484586,1499920,1799347,896468,902879,1343234,677302,665932,288262,122945,165317,114508,65937,48571,52866,30001,22865,477,283,194
C3010,32,00,0000,State - KERALA  32,Total,20-24,2983990,1440467,1543523,472209,243661,228548,45229,25980,19249,326258,157972,168286,72730,42422,30308,27268,16886,10382,724,401,323
