Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Total population - Persons,Total population - Males,Total population - Females,Population attending educational institutions - Persons,Population attending educational institutions - Males,Population attending educational institutions - Females,Type of educational institution - School - Persons,Type of educational institution - School - Males,Type of educational institution - School - Females,Type of educational institution - College - Persons,Type of educational institution - College - Males,Type of educational institution - College - Females,Type of educational institution - Vocational institute - Persons,Type of educational institution - Vocational institute - Males,Type of educational institution - Vocational institute - Females,Type of educational institution - Other institute - Persons,Type of educational institution - Other institute - Males,Type of educational institution - Other institute - Females,Type of educational institution - Literacy centre - Persons,Type of educational institution - Literacy centre - Males,Type of educational institution - Literacy centre - Females,,
C3010,33,0,0,State - TAMIL NADU  33,Rural,20-24,3104691,1551058,1553633,254832,166625,88207,99206,61590,37616,126862,85533,41329,22306,16006,6300,5431,3086,2345,1027,410,617,,
C3010,33,0,0,State - TAMIL NADU  33,Rural,25-29,3053491,1452229,1601262,23294,17153,6141,0,0,0,12691,9947,2744,6130,4666,1464,2979,2019,960,1494,521,973,,
C3010,33,0,0,State - TAMIL NADU  33,Rural,30-34,2463318,1214333,1248985,6795,4374,2421,0,0,0,2633,1972,661,1787,1174,613,1083,686,397,1292,542,750,,
C3010,33,0,0,State - TAMIL NADU  33,Rural,35-59,9655593,4797207,4858386,13515,8100,5415,0,0,0,2847,2224,623,3362,1810,1552,1822,1154,668,5484,2912,2572,,
C3010,33,0,0,State - TAMIL NADU  33,Rural,60+,3222748,1615844,1606904,3389,2107,1282,0,0,0,493,355,138,1067,594,473,411,263,148,1418,895,523,,
C3010,33,0,0,State - TAMIL NADU  33,Rural,Age not stated,162848,85099,77749,1362,913,449,0,0,0,608,399,209,542,390,152,128,76,52,84,48,36,,
C3010,33,0,0,State - TAMIL NADU  33,Urban,All ages,27483998,13869415,13614583,6188348,3210195,2978153,5537765,2839433,2698332,485497,266522,218975,119772,79051,40721,39068,21704,17364,6246,3485,2761,,
C3010,33,0,0,State - TAMIL NADU  33,Urban,0-4,2098659,1071432,1027227,182003,94022,87981,182003,94022,87981,0,0,0,0,0,0,0,0,0,0,0,0,,
C3010,33,0,0,State - TAMIL NADU  33,Urban,5,474041,244569,229472,237319,122765,114554,237319,122765,114554,0,0,0,0,0,0,0,0,0,0,0,0,,
C3010,33,0,0,State - TAMIL NADU  33,Urban,6,429816,219620,210196,318674,163068,155606,318674,163068,155606,0,0,0,0,0,0,0,0,0,0,0,0,,
